X,Y,OBJECTID,org_name,Name,addrln1,city,state,post_id,zip,latitude,longitude,POINT_X,POINT_Y
-118.3191432,33.80532442,63115,LA County,LA County Library - Lomita Library,24200 Narbonne Ave,Lomita,CA,70535,90717,33.80532445,-118.3191432,6464712.842,1751687.273
-118.0676052,33.96461383,63119,LA County,LA County Library - Los Nietos Library,11644 Slauson Ave,Whittier,CA,70536,90606,33.96461386,-118.0676051,6541170.478,1809509.494
-118.1997201,33.92649205,63122,LA County,LA County Library - Lynwood Library,11320 Bullis Rd,Lynwood,CA,70537,90262,33.92649208,-118.19972,6501081.828,1795689.438
-118.6910727,34.03584605,63124,LA County,LA County Library - Malibu Library,23519 Civic Center Way,Malibu,CA,70538,90265,34.03584608,-118.6910726,6352296.668,1836145.202
-118.4104449,33.88681588,63127,LA County,LA County Library - Manhattan Beach Library,1320 Highland Ave,Manhattan Beach,CA,70539,90266,33.88681591,-118.4104448,6437096.135,1781444.505
-118.3267557,33.89995707,63134,LA County,LA County Library - Masao W. Satow Library,14433 Crenshaw Blvd,Gardena,CA,70541,90249,33.8999571,-118.3267556,6462512.109,1786133.725
-118.1891141,33.98757004,63136,LA County,LA County Library - Maywood Cesar Chavez Library,4323 Slauson Ave,Maywood,CA,70542,90270,33.98757007,-118.189114,6504341.156,1817910.778
-118.1155149,34.02064285,63138,LA County,LA County Library - Montebello Library,1550 W Beverly Blvd,Montebello,CA,70543,90640,34.02064288,-118.1155148,6526666.285,1829912.833
-118.0693579,33.91667346,63141,LA County,LA County Library - Norwalk Library,12350 Imperial Hwy,Norwalk,CA,70544,90650,33.91667349,-118.0693579,6540626.952,1792063.301
-118.0157021,34.08683567,63145,LA County,LA County Library - Norwood Library,4550 Peck Rd,El Monte,CA,70545,91732,34.0868357,-118.015702,6556915.968,1853981.947
-118.1610184,33.88580525,63148,LA County,LA County Library - Paramount Library,16254 Colorado Ave,Paramount,CA,70546,90723,33.88580528,-118.1610183,6512798.926,1780861.52
-118.0727683,34.00793995,63152,LA County,LA County Library - Pico Rivera Library,9001 Mines Ave.,Pico Rivera,CA,70547,90660,34.00793998,-118.0727682,6539616.288,1825277.862
-118.2181862,34.64620273,63155,LA County,LA County Library - Quartz Hill Library,42018 50Th St W,Quartz Hill,CA,70548,93536,34.64620276,-118.2181861,6496048.343,2057618.126
-118.1008089,33.96892133,63157,LA County,LA County Library - Rivera Library,7828 Serapis Ave,Pico Rivera,CA,70549,90660,33.96892136,-118.1008088,6531103.715,1811085.519
-118.077063,34.08006684,63160,LA County,LA County Library - Rosemead Library,8800 Valley Blvd,Rosemead,CA,70550,91770,34.08006687,-118.0770629,6538334.805,1851527.214
-117.8887788,33.98444436,63163,LA County,LA County Library - Rowland Heights Library,1850 Nogales St,Rowland Heights,CA,70551,91748,33.98444439,-117.8887787,6595387.907,1816738.007
