GEO_ID,NAME,B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E
Geography,Geographic Area Name,Total Population,"U.S. citizen, born in the United States","U.S. citizen, born in Puerto Rico or U.S. Island Areas","U.S. citizen, born abroad of American parent(s)",U.S. citizen by naturalization,Not a U.S. citizen
1400000US06037124203,"Census Tract 1242.03, Los Angeles County, California",2069,1182,7,34,455,391
1400000US06037124204,"Census Tract 1242.04, Los Angeles County, California",2104,1335,0,7,323,439
1400000US06037124300,"Census Tract 1243, Los Angeles County, California",2894,1693,0,10,778,413
1400000US06037124400,"Census Tract 1244, Los Angeles County, California",4695,2894,0,95,1164,542
1400000US06037124500,"Census Tract 1245, Los Angeles County, California",2813,2033,0,102,369,309
1400000US06037124600,"Census Tract 1246, Los Angeles County, California",2718,2033,0,35,427,223
1400000US06037124700,"Census Tract 1247, Los Angeles County, California",5323,4312,0,76,766,169
1400000US06037124902,"Census Tract 1249.02, Los Angeles County, California",3294,2224,0,25,610,435
1400000US06037124903,"Census Tract 1249.03, Los Angeles County, California",3979,2888,27,50,710,304
1400000US06037125101,"Census Tract 1251.01, Los Angeles County, California",3819,2846,0,20,523,430
1400000US06037125102,"Census Tract 1251.02, Los Angeles County, California",1838,1511,0,29,247,51
1400000US06037125200,"Census Tract 1252, Los Angeles County, California",3757,3066,0,10,388,293
1400000US06037125310,"Census Tract 1253.10, Los Angeles County, California",3525,2591,19,38,499,378
1400000US06037125321,"Census Tract 1253.21, Los Angeles County, California",2718,1824,0,0,690,204
1400000US06037125322,"Census Tract 1253.22, Los Angeles County, California",1979,1198,0,35,563,183
1400000US06037125402,"Census Tract 1254.02, Los Angeles County, California",4520,3234,14,69,863,340
1400000US06037125403,"Census Tract 1254.03, Los Angeles County, California",2344,1680,0,87,384,193
1400000US06037125404,"Census Tract 1254.04, Los Angeles County, California",2696,2267,71,21,9,328
1400000US06037125501,"Census Tract 1255.01, Los Angeles County, California",2945,2450,0,25,292,178
1400000US06037125502,"Census Tract 1255.02, Los Angeles County, California",3817,2704,0,9,916,188
1400000US06037125600,"Census Tract 1256, Los Angeles County, California",2983,2389,0,11,373,210
1400000US06037127102,"Census Tract 1271.02, Los Angeles County, California",5166,2648,0,32,983,1503
1400000US06037127103,"Census Tract 1271.03, Los Angeles County, California",3103,1535,23,49,779,717
1400000US06037127104,"Census Tract 1271.04, Los Angeles County, California",3955,2063,0,84,1010,798
1400000US06037127210,"Census Tract 1272.10, Los Angeles County, California",5680,2933,0,27,1185,1535
1400000US06037127220,"Census Tract 1272.20, Los Angeles County, California",5326,2629,0,114,1011,1572
1400000US06037127300,"Census Tract 1273, Los Angeles County, California",3732,2354,0,35,775,568
1400000US06037127400,"Census Tract 1274, Los Angeles County, California",6291,3594,0,86,1236,1375
1400000US06037127520,"Census Tract 1275.20, Los Angeles County, California",4881,2337,0,46,776,1722
1400000US06037127603,"Census Tract 1276.03, Los Angeles County, California",2757,1551,0,97,400,709
1400000US06037127604,"Census Tract 1276.04, Los Angeles County, California",3288,1608,0,16,759,905
1400000US06037127605,"Census Tract 1276.05, Los Angeles County, California",3827,2088,0,0,478,1261
1400000US06037127606,"Census Tract 1276.06, Los Angeles County, California",3179,1894,0,33,622,630
1400000US06037127711,"Census Tract 1277.11, Los Angeles County, California",3107,1895,14,49,492,657
1400000US06037127712,"Census Tract 1277.12, Los Angeles County, California",3752,2099,0,41,528,1084
1400000US06037127803,"Census Tract 1278.03, Los Angeles County, California",4914,2849,0,27,963,1075
1400000US06037127804,"Census Tract 1278.04, Los Angeles County, California",4823,2302,0,31,1373,1117
1400000US06037127805,"Census Tract 1278.05, Los Angeles County, California",3545,1864,25,24,564,1068
1400000US06037127806,"Census Tract 1278.06, Los Angeles County, California",3083,1470,6,46,605,956
1400000US06037127910,"Census Tract 1279.10, Los Angeles County, California",4859,2501,0,43,685,1630
1400000US06037127920,"Census Tract 1279.20, Los Angeles County, California",4713,2671,0,122,1154,766
1400000US06037128101,"Census Tract 1281.01, Los Angeles County, California",2995,1701,0,28,649,617
1400000US06037128102,"Census Tract 1281.02, Los Angeles County, California",4888,2592,0,13,1003,1280
1400000US06037128210,"Census Tract 1282.10, Los Angeles County, California",5358,2614,9,20,991,1724
1400000US06037128220,"Census Tract 1282.20, Los Angeles County, California",2779,1502,0,22,734,521
1400000US06037128302,"Census Tract 1283.02, Los Angeles County, California",4826,2281,0,39,890,1616
1400000US06037128303,"Census Tract 1283.03, Los Angeles County, California",3780,1949,0,0,417,1414
1400000US06037128400,"Census Tract 1284, Los Angeles County, California",4643,3377,0,45,691,530
1400000US06037128500,"Census Tract 1285, Los Angeles County, California",4145,3054,0,46,704,341
1400000US06037128601,"Census Tract 1286.01, Los Angeles County, California",4834,2724,12,0,631,1467
1400000US06037128602,"Census Tract 1286.02, Los Angeles County, California",2892,2226,0,41,430,195
1400000US06037128703,"Census Tract 1287.03, Los Angeles County, California",3070,2363,0,58,291,358
1400000US06037128704,"Census Tract 1287.04, Los Angeles County, California",2239,1838,0,39,211,151
1400000US06037128801,"Census Tract 1288.01, Los Angeles County, California",3807,2392,15,97,679,624
1400000US06037128802,"Census Tract 1288.02, Los Angeles County, California",4309,3149,0,18,563,579
1400000US06037128910,"Census Tract 1289.10, Los Angeles County, California",4614,3085,8,159,910,452
1400000US06037131021,"Census Tract 1310.21, Los Angeles County, California",3465,1591,7,49,750,1068
1400000US06037131022,"Census Tract 1310.22, Los Angeles County, California",2822,1551,0,42,489,740
1400000US06037131023,"Census Tract 1310.23, Los Angeles County, California",2946,1538,0,0,848,560
1400000US06037131024,"Census Tract 1310.24, Los Angeles County, California",3905,2151,0,45,931,778
1400000US06037131100,"Census Tract 1311, Los Angeles County, California",3289,2375,3,53,569,289
1400000US06037131200,"Census Tract 1312, Los Angeles County, California",3485,2445,0,30,723,287
1400000US06037131300,"Census Tract 1313, Los Angeles County, California",4560,2489,0,222,1189,660
1400000US06037131400,"Census Tract 1314, Los Angeles County, California",6364,3462,162,79,1630,1031
1400000US06037131600,"Census Tract 1316, Los Angeles County, California",4997,2707,0,98,1514,678
1400000US06037131701,"Census Tract 1317.01, Los Angeles County, California",5602,2585,84,188,1635,1110
1400000US06037131702,"Census Tract 1317.02, Los Angeles County, California",4135,2574,78,104,836,543
1400000US06037131801,"Census Tract 1318.01, Los Angeles County, California",3085,1555,0,51,817,662
1400000US06037131802,"Census Tract 1318.02, Los Angeles County, California",2564,1547,0,61,646,310
1400000US06037131900,"Census Tract 1319, Los Angeles County, California",4468,2942,5,31,1032,458
1400000US06037132001,"Census Tract 1320.01, Los Angeles County, California",3213,2262,0,36,620,295
1400000US06037132002,"Census Tract 1320.02, Los Angeles County, California",3596,2018,0,64,1042,472
1400000US06037132101,"Census Tract 1321.01, Los Angeles County, California",4592,2885,11,77,921,698
1400000US06037132102,"Census Tract 1321.02, Los Angeles County, California",5347,3269,17,69,1573,419
1400000US06037132301,"Census Tract 1323.01, Los Angeles County, California",4074,1820,0,99,1167,988
1400000US06037132302,"Census Tract 1323.02, Los Angeles County, California",3359,1597,0,0,780,982
1400000US06037132501,"Census Tract 1325.01, Los Angeles County, California",4785,2329,0,329,1366,761
1400000US06037132502,"Census Tract 1325.02, Los Angeles County, California",3207,1638,0,36,1232,301
1400000US06037132700,"Census Tract 1327, Los Angeles County, California",4735,2501,0,58,1023,1153
1400000US06037132900,"Census Tract 1329, Los Angeles County, California",3763,1961,0,31,1141,630
1400000US06037133000,"Census Tract 1330, Los Angeles County, California",4449,2403,0,66,1179,801
1400000US06037133101,"Census Tract 1331.01, Los Angeles County, California",1683,1063,0,10,380,230
1400000US06037133102,"Census Tract 1331.02, Los Angeles County, California",3663,2230,0,38,944,451
1400000US06037134001,"Census Tract 1340.01, Los Angeles County, California",3757,1971,0,45,771,970
1400000US06037134002,"Census Tract 1340.02, Los Angeles County, California",3760,2189,15,104,860,592
1400000US06037134101,"Census Tract 1341.01, Los Angeles County, California",5262,2631,0,41,1365,1225
1400000US06037134103,"Census Tract 1341.03, Los Angeles County, California",4495,2750,0,46,881,818
