OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
153,121020,3741,2231,1002,59,4,369,1,15,60,2798,1541,842,52,2,311,1,10,39,1046,994,52,Tract: 1210.20\nTotal Population: 3741,navigatela/reports/census_tracts_2010.cfm?PK=121020
154,121101,2932,2040,504,58,5,284,2,4,35,2203,1433,434,49,5,245,2,3,32,956,899,57,Tract: 1211.01\nTotal Population: 2932,navigatela/reports/census_tracts_2010.cfm?PK=121101
155,121102,2721,1574,926,24,3,151,4,4,35,2057,1088,781,17,3,137,4,3,24,829,776,53,Tract: 1211.02\nTotal Population: 2721,navigatela/reports/census_tracts_2010.cfm?PK=121102
156,121210,3122,2208,343,33,9,497,1,6,25,2376,1577,304,32,8,437,1,0,17,799,759,40,Tract: 1212.10\nTotal Population: 3122,navigatela/reports/census_tracts_2010.cfm?PK=121210
157,121221,2365,1969,183,28,4,142,7,14,18,1721,1383,171,16,3,124,5,7,12,564,536,28,Tract: 1212.21\nTotal Population: 2365,navigatela/reports/census_tracts_2010.cfm?PK=121221
158,121222,5293,4500,342,165,6,231,3,4,42,3466,2844,265,116,6,201,3,3,28,1270,1198,72,Tract: 1212.22\nTotal Population: 5293,navigatela/reports/census_tracts_2010.cfm?PK=121222
159,121600,3005,1084,1107,54,3,668,5,15,69,2398,787,935,50,1,562,5,9,49,851,827,24,Tract: 1216.00\nTotal Population: 3005,navigatela/reports/census_tracts_2010.cfm?PK=121600
160,121801,3942,2990,521,141,12,216,0,8,54,2818,2058,406,120,9,175,0,7,43,1215,1101,114,Tract: 1218.01\nTotal Population: 3942,navigatela/reports/census_tracts_2010.cfm?PK=121801
161,121802,3525,2385,611,196,8,279,4,6,36,2603,1655,522,162,7,216,4,6,31,736,708,28,Tract: 1218.02\nTotal Population: 3525,navigatela/reports/census_tracts_2010.cfm?PK=121802
162,121900,4110,3239,535,38,19,232,1,11,35,3099,2348,463,34,15,206,1,7,25,1072,1002,70,Tract: 1219.00\nTotal Population: 4110,navigatela/reports/census_tracts_2010.cfm?PK=121900
163,122000,5446,1987,2258,66,20,987,4,21,103,4339,1454,1888,56,18,825,4,15,79,1538,1463,75,Tract: 1220.00\nTotal Population: 5446,navigatela/reports/census_tracts_2010.cfm?PK=122000
164,122120,5000,4305,365,34,10,243,2,13,28,3501,2924,309,26,8,204,2,6,22,1132,1095,37,Tract: 1221.20\nTotal Population: 5000,navigatela/reports/census_tracts_2010.cfm?PK=122120
165,122121,2833,2248,283,37,1,232,4,4,24,2053,1565,243,30,1,191,2,0,21,738,703,35,Tract: 1221.21\nTotal Population: 2833,navigatela/reports/census_tracts_2010.cfm?PK=122121
166,122122,2439,1959,307,108,8,41,1,0,15,1692,1329,243,67,7,33,1,0,12,660,619,41,Tract: 1221.22\nTotal Population: 2439,navigatela/reports/census_tracts_2010.cfm?PK=122122
167,122200,4141,3577,370,28,5,128,0,5,28,2905,2442,304,24,5,109,0,0,21,973,921,52,Tract: 1222.00\nTotal Population: 4141,navigatela/reports/census_tracts_2010.cfm?PK=122200
168,122410,3794,3157,289,174,1,126,0,10,37,2643,2115,259,129,1,104,0,10,25,1137,1046,91,Tract: 1224.10\nTotal Population: 3794,navigatela/reports/census_tracts_2010.cfm?PK=122410
169,122420,5050,4037,469,158,3,322,1,6,54,3643,2752,413,142,3,285,1,6,41,1350,1304,46,Tract: 1224.20\nTotal Population: 5050,navigatela/reports/census_tracts_2010.cfm?PK=122420
170,123010,4580,4142,236,43,11,76,26,22,24,3066,2726,191,34,5,62,18,13,17,1038,986,52,Tract: 1230.10\nTotal Population: 4580,navigatela/reports/census_tracts_2010.cfm?PK=123010
171,123020,3432,3019,219,20,0,144,4,6,20,2467,2128,184,18,0,119,2,5,11,781,741,40,Tract: 1230.20\nTotal Population: 3432,navigatela/reports/census_tracts_2010.cfm?PK=123020
172,123103,4165,2586,1056,116,6,296,11,20,74,3122,1790,912,105,6,243,6,8,52,1523,1437,86,Tract: 1231.03\nTotal Population: 4165,navigatela/reports/census_tracts_2010.cfm?PK=123103
173,123104,4596,2924,1131,160,16,247,3,10,105,3512,2065,1001,127,12,214,3,10,80,1605,1516,89,Tract: 1231.04\nTotal Population: 4596,navigatela/reports/census_tracts_2010.cfm?PK=123104
174,123203,3765,3080,349,149,5,125,1,33,23,2528,1979,312,100,5,102,1,17,12,1098,1035,63,Tract: 1232.03\nTotal Population: 3765,navigatela/reports/census_tracts_2010.cfm?PK=123203
175,123204,3449,2678,466,136,2,112,7,18,30,2383,1747,415,92,2,84,7,11,25,1056,993,63,Tract: 1232.04\nTotal Population: 3449,navigatela/reports/census_tracts_2010.cfm?PK=123204
176,123205,2645,2194,285,62,2,71,0,10,21,1841,1456,256,46,2,63,0,3,15,737,702,35,Tract: 1232.05\nTotal Population: 2645,navigatela/reports/census_tracts_2010.cfm?PK=123205
177,123206,2945,2504,255,70,3,94,1,7,11,2113,1749,211,51,3,83,1,6,9,910,880,30,Tract: 1232.06\nTotal Population: 2945,navigatela/reports/census_tracts_2010.cfm?PK=123206
178,123301,4559,2077,1032,216,9,1140,2,19,64,3580,1454,896,170,8,980,2,16,54,1565,1504,61,Tract: 1233.01\nTotal Population: 4559,navigatela/reports/census_tracts_2010.cfm?PK=123301
179,123303,3301,1988,876,98,0,258,0,11,70,2460,1388,732,70,0,213,0,11,46,951,919,32,Tract: 1233.03\nTotal Population: 3301,navigatela/reports/census_tracts_2010.cfm?PK=123303
180,123304,4687,2381,1839,152,6,202,4,12,91,3603,1670,1549,128,4,176,3,6,67,1721,1647,74,Tract: 1233.04\nTotal Population: 4687,navigatela/reports/census_tracts_2010.cfm?PK=123304
181,123410,4247,2428,1350,123,5,248,6,17,70,3164,1660,1136,97,4,210,6,8,43,1294,1225,69,Tract: 1234.10\nTotal Population: 4247,navigatela/reports/census_tracts_2010.cfm?PK=123410
182,123420,4638,2641,1521,92,10,288,0,19,67,3331,1730,1227,69,7,237,0,11,50,1419,1355,64,Tract: 1234.20\nTotal Population: 4638,navigatela/reports/census_tracts_2010.cfm?PK=123420
183,123510,4753,2371,1763,135,6,370,2,10,96,3578,1607,1472,110,6,305,2,7,69,1623,1523,100,Tract: 1235.10\nTotal Population: 4753,navigatela/reports/census_tracts_2010.cfm?PK=123510
184,123520,2567,1326,979,66,4,120,4,6,62,2000,978,816,56,4,99,4,3,40,857,820,37,Tract: 1235.20\nTotal Population: 2567,navigatela/reports/census_tracts_2010.cfm?PK=123520
185,123601,4995,1664,2760,203,11,237,1,10,109,4000,1232,2321,158,9,199,1,6,74,1895,1789,106,Tract: 1236.01\nTotal Population: 4995,navigatela/reports/census_tracts_2010.cfm?PK=123601
186,123602,3332,1266,1662,100,5,211,0,10,78,2628,875,1418,87,5,181,0,8,54,1332,1257,75,Tract: 1236.02\nTotal Population: 3332,navigatela/reports/census_tracts_2010.cfm?PK=123602
187,123700,4114,1212,2332,127,4,317,7,5,110,3269,883,1916,110,4,280,5,4,67,1547,1458,89,Tract: 1237.00\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=123700
188,123800,5531,1494,3339,244,15,269,19,17,134,4437,1125,2731,199,15,238,15,10,104,2396,2253,143,Tract: 1238.00\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=123800
189,123901,4500,2461,1498,191,11,242,3,19,75,3450,1736,1283,159,10,192,3,14,53,1532,1452,80,Tract: 1239.01\nTotal Population: 4500,navigatela/reports/census_tracts_2010.cfm?PK=123901
190,123902,2561,758,1314,124,7,275,1,7,75,2122,565,1165,94,7,237,1,5,48,1114,1068,46,Tract: 1239.02\nTotal Population: 2561,navigatela/reports/census_tracts_2010.cfm?PK=123902
191,124000,4550,552,3480,159,4,200,0,18,137,3689,420,2864,132,4,171,0,13,85,2160,2050,110,Tract: 1240.00\nTotal Population: 4550,navigatela/reports/census_tracts_2010.cfm?PK=124000
192,124102,3549,1889,1123,200,3,223,0,12,99,2770,1307,1017,176,3,191,0,6,70,1433,1336,97,Tract: 1241.02\nTotal Population: 3549,navigatela/reports/census_tracts_2010.cfm?PK=124102
193,124103,2030,1523,371,37,2,69,4,10,14,1493,1049,330,33,2,57,3,8,11,607,575,32,Tract: 1241.03\nTotal Population: 2030,navigatela/reports/census_tracts_2010.cfm?PK=124103
194,124104,2439,1471,661,163,4,82,4,3,51,1877,1022,593,140,4,74,3,2,39,999,963,36,Tract: 1241.04\nTotal Population: 2439,navigatela/reports/census_tracts_2010.cfm?PK=124104
195,124105,2658,1602,777,108,3,106,5,23,34,1966,1076,660,93,3,90,3,15,26,925,888,37,Tract: 1241.05\nTotal Population: 2658,navigatela/reports/census_tracts_2010.cfm?PK=124105
196,124201,3506,2029,1073,85,5,240,2,21,51,2728,1465,936,71,4,200,1,15,36,1140,1094,46,Tract: 1242.01\nTotal Population: 3506,navigatela/reports/census_tracts_2010.cfm?PK=124201
197,124203,2748,2080,445,67,10,101,3,8,34,2034,1465,395,52,7,84,3,5,23,876,823,53,Tract: 1242.03\nTotal Population: 2748,navigatela/reports/census_tracts_2010.cfm?PK=124203
198,124204,3071,1963,712,143,9,163,11,12,58,2341,1371,639,127,8,138,9,5,44,1076,1020,56,Tract: 1242.04\nTotal Population: 3071,navigatela/reports/census_tracts_2010.cfm?PK=124204
199,124300,4046,2816,891,101,8,176,1,4,49,3062,1962,810,84,7,151,0,4,44,1385,1306,79,Tract: 1243.00\nTotal Population: 4046,navigatela/reports/census_tracts_2010.cfm?PK=124300
200,124400,4192,820,2981,138,8,144,3,14,84,3206,606,2269,119,6,131,3,11,61,1723,1636,87,Tract: 1244.00\nTotal Population: 4192,navigatela/reports/census_tracts_2010.cfm?PK=124400
201,124500,2779,624,1772,98,11,182,1,11,80,2271,464,1499,86,11,157,1,5,48,1243,1169,74,Tract: 1245.00\nTotal Population: 2779,navigatela/reports/census_tracts_2010.cfm?PK=124500
202,124600,3123,484,2154,135,4,239,3,7,97,2515,356,1788,97,2,205,2,7,58,1398,1338,60,Tract: 1246.00\nTotal Population: 3123,navigatela/reports/census_tracts_2010.cfm?PK=124600
203,124700,4796,611,3516,237,3,287,3,11,128,3950,446,2976,199,2,230,3,9,85,2222,2098,124,Tract: 1247.00\nTotal Population: 4796,navigatela/reports/census_tracts_2010.cfm?PK=124700
204,124902,2766,679,1598,181,7,200,6,17,78,2312,475,1441,150,5,173,6,13,49,1608,1459,149,Tract: 1249.02\nTotal Population: 2766,navigatela/reports/census_tracts_2010.cfm?PK=124902
205,124903,3262,668,2096,204,11,144,6,17,116,2852,527,1879,187,11,137,6,16,89,1703,1553,150,Tract: 1249.03\nTotal Population: 3262,navigatela/reports/census_tracts_2010.cfm?PK=124903
206,125100,5431,1056,3496,367,10,306,5,23,168,4577,787,3038,317,9,276,5,19,126,2971,2701,270,Tract: 1251.00\nTotal Population: 5431,navigatela/reports/census_tracts_2010.cfm?PK=125100
207,125200,3524,1057,1922,179,24,215,4,14,109,2946,803,1689,155,15,182,4,11,87,1754,1624,130,Tract: 1252.00\nTotal Population: 3524,navigatela/reports/census_tracts_2010.cfm?PK=125200
208,125310,4750,2255,1723,381,9,248,1,26,107,3848,1610,1580,326,7,220,1,20,84,2168,1967,201,Tract: 1253.10\nTotal Population: 4750,navigatela/reports/census_tracts_2010.cfm?PK=125310
209,125320,4843,1761,1863,482,9,517,5,26,180,4076,1302,1755,410,7,433,5,18,146,2753,2337,416,Tract: 1253.20\nTotal Population: 4843,navigatela/reports/census_tracts_2010.cfm?PK=125320
210,125401,4024,1101,1878,577,10,285,6,19,148,3637,896,1811,522,9,257,6,17,119,2334,2162,172,Tract: 1254.01\nTotal Population: 4024,navigatela/reports/census_tracts_2010.cfm?PK=125401
211,125402,3544,710,2123,336,7,232,3,20,113,3151,553,1971,301,7,210,3,14,92,2011,1852,159,Tract: 1254.02\nTotal Population: 3544,navigatela/reports/census_tracts_2010.cfm?PK=125402
212,125501,3077,898,1653,221,7,214,3,9,72,2666,671,1531,199,5,194,3,7,56,1668,1565,103,Tract: 1255.01\nTotal Population: 3077,navigatela/reports/census_tracts_2010.cfm?PK=125501
213,125502,3083,493,1952,244,8,253,2,11,120,2785,414,1808,215,7,235,2,10,94,1796,1687,109,Tract: 1255.02\nTotal Population: 3083,navigatela/reports/census_tracts_2010.cfm?PK=125502
214,125600,2657,363,1901,113,4,167,2,11,96,2240,285,1656,87,3,145,2,8,54,1287,1217,70,Tract: 1256.00\nTotal Population: 2657,navigatela/reports/census_tracts_2010.cfm?PK=125600
215,127102,4726,2925,1026,271,4,412,0,13,75,3431,2000,841,210,3,317,0,6,54,1514,1406,108,Tract: 1271.02\nTotal Population: 4726,navigatela/reports/census_tracts_2010.cfm?PK=127102
216,127103,2939,1812,762,153,0,152,2,14,44,2193,1263,648,127,0,118,1,7,29,1173,1088,85,Tract: 1271.03\nTotal Population: 2939,navigatela/reports/census_tracts_2010.cfm?PK=127103
217,127104,3573,1875,1156,165,6,281,5,6,79,2676,1288,958,134,5,230,4,2,55,1234,1132,102,Tract: 1271.04\nTotal Population: 3573,navigatela/reports/census_tracts_2010.cfm?PK=127104
218,127210,5531,3411,1104,340,8,570,3,31,64,4063,2287,950,265,7,484,3,17,50,1885,1760,125,Tract: 1272.10\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=127210
219,127220,4931,3145,946,239,10,511,6,10,64,3642,2160,801,175,5,441,6,8,46,1658,1585,73,Tract: 1272.20\nTotal Population: 4931,navigatela/reports/census_tracts_2010.cfm?PK=127220
220,127300,4460,2184,1329,351,12,437,8,22,117,3509,1557,1167,293,11,376,7,10,88,1761,1637,124,Tract: 1273.00\nTotal Population: 4460,navigatela/reports/census_tracts_2010.cfm?PK=127300
221,127400,5818,4259,892,289,8,275,5,19,71,4096,2804,755,231,6,229,5,13,53,1809,1719,90,Tract: 1274.00\nTotal Population: 5818,navigatela/reports/census_tracts_2010.cfm?PK=127400
222,127520,4045,3318,251,122,6,263,0,39,46,2713,2131,229,104,3,197,0,19,30,1239,1163,76,Tract: 1275.20\nTotal Population: 4045,navigatela/reports/census_tracts_2010.cfm?PK=127520
223,127603,2938,2190,411,125,8,168,3,6,27,2086,1476,350,96,7,131,3,4,19,897,843,54,Tract: 1276.03\nTotal Population: 2938,navigatela/reports/census_tracts_2010.cfm?PK=127603
